state,counties,city,price,type,beds,baths,sqfeet,latlong
ca,sacramento,roseville,1900,apartment,3,2,1250,"(38.7724, -121.263)"
ca,sacramento,rosemont,1325,apartment,1,1,640,"(38.5643, -121.378)"
ca,sacramento,florin,2010,apartment,3,2,1232,"(38.4249, -121.471)"
ca,sacramento,manteca,2699,house,4,3.5,2660,"(37.7661, -121.201)"
ca,sacramento,folsom,1450,apartment,1,1,700,"(38.6709, -121.153)"
ca,sacramento,sacramento,1211,apartment,1,1,632,"(38.6131, -121.506)"
ca,sacramento,citrus heights,1250,apartment,1,1,710,"(38.6946, -121.269)"
ca,sacramento,rosemont,1225,apartment,1,1,640,"(38.5643, -121.378)"
ca,sacramento,citrus heights,1199,apartment,1,1,640,"(38.7113, -121.272)"
ca,sacramento,rocklin,1695,apartment,2,2,1031,"(38.8136, -121.268)"
ca,sacramento,rio linda,1995,condo,3,3,1454,"(38.6719, -121.505)"
ca,sacramento,rancho cordova,1177,apartment,1,1,704,"(38.5786, -121.295)"
ca,sacramento,citrus heights,1115,apartment,1,1,672,"(38.6803, -121.282)"
ca,sacramento,citrus heights,1115,apartment,1,1,672,"(38.6803, -121.282)"
ca,sacramento,citrus heights,1115,apartment,1,1,672,"(38.6803, -121.282)"
ca,sacramento,citrus heights,1115,apartment,1,1,672,"(38.6803, -121.282)"
ca,sacramento,citrus heights,1115,apartment,1,1,672,"(38.6803, -121.282)"
ca,sacramento,citrus heights,1115,apartment,1,1,672,"(38.6803, -121.282)"
ca,sacramento,sacramento,2250,townhouse,3,1.5,1100,"(38.5651, -121.492)"
ca,sacramento,north highlands,1220,apartment,2,2,960,"(38.6556, -121.364)"
ca,sacramento,north highlands,1480,condo,2,2,994,"(38.7159, -121.365)"
ca,sacramento,orangevale,3300,house,4,3.5,3131,"(38.7258, -121.215)"
ca,sacramento,sacramento,1000,house,2,1,750,"(38.5364, -121.49)"
ca,sacramento,rancho cordova,1177,apartment,1,1,704,"(38.5786, -121.295)"
ca,sacramento,florin,1999,house,3,2,1300,"(38.5347, -121.445)"
ca,sacramento,folsom,1600,duplex,2,1,900,"(38.6753, -121.196)"
ca,sacramento,sacramento,550,apartment,1,1,644,"(38.5682, -121.48)"
ca,sacramento,sacramento,1300,apartment,2,1.5,1200,"(38.5854, -121.485)"
ca,sacramento,florin,1125,apartment,1,1,598,"(38.4743, -121.445)"
ca,sacramento,rancho cordova,1177,apartment,1,1,704,"(38.5786, -121.295)"
ca,sacramento,west sacramento,1960,apartment,2,2,1198,"(38.4962, -121.53)"
ca,sacramento,sacramento,1400,house,2,1,1010,"(38.5683, -121.437)"
ca,sacramento,roseville,1795,apartment,1,1,869,"(38.7913, -121.324)"
ca,sacramento,roseville,2595,townhouse,2,2.5,1317,"(38.7898, -121.322)"
ca,sacramento,citrus heights,1695,house,3,2,1100,"(38.6952, -121.308)"
ca,sacramento,fair oaks,1699,apartment,2,1,860,"(38.6698, -121.269)"
ca,sacramento,citrus heights,1695,house,3,2,1100,"(38.6952, -121.308)"
ca,sacramento,cameron park,2450,house,4,2,2050,"(38.6465, -120.964)"
ca,sacramento,rancho cordova,1000,apartment,1,1,710,"(38.5955, -121.312)"
ca,sacramento,rocklin,1460,apartment,1,1,761,"(38.7871, -121.207)"
ca,sacramento,fair oaks,1699,apartment,2,1,860,"(38.6698, -121.269)"
ca,sacramento,fair oaks,1249,apartment,1,1,480,"(38.6698, -121.269)"
ca,sacramento,rancho cordova,1000,apartment,1,1,710,"(38.5955, -121.312)"
ca,sacramento,sacramento,1850,house,3,2,1224,"(38.5091, -121.493)"
ca,sacramento,sacramento,1850,house,3,2,1224,"(38.5091, -121.493)"
ca,sacramento,fair oaks,1249,apartment,1,1,480,"(38.6698, -121.269)"
ca,sacramento,folsom,1775,apartment,1,1,746,"(38.6709, -121.153)"
ca,sacramento,rancho cordova,1000,apartment,1,1,710,"(38.5955, -121.312)"
ca,sacramento,rancho cordova,1000,apartment,1,1,710,"(38.5955, -121.312)"
ca,sacramento,turlock,1239,apartment,1,1,580,"(37.5164, -120.85)"
ca,sacramento,rocklin,1600,apartment,2,2,958,"(38.7877, -121.237)"
ca,sacramento,turlock,1239,apartment,1,1,580,"(37.5164, -120.85)"
ca,sacramento,turlock,1239,apartment,1,1,580,"(37.5164, -120.85)"
ca,sacramento,turlock,1239,apartment,1,1,580,"(37.5164, -120.85)"
ca,sacramento,turlock,1239,apartment,1,1,580,"(37.5164, -120.85)"
ca,sacramento,turlock,1239,apartment,1,1,580,"(37.5164, -120.85)"
ca,sacramento,turlock,1239,apartment,1,1,580,"(37.5164, -120.85)"
ca,sacramento,woodland,1799,duplex,2,2,960,"(38.689, -121.8)"
ca,sacramento,rocklin,1600,apartment,2,2,958,"(38.7877, -121.237)"
ca,sacramento,roseville,1918,apartment,2,2,1016,"(38.7622, -121.296)"
ca,sacramento,rocklin,1600,apartment,2,2,958,"(38.7877, -121.237)"
ca,sacramento,woodland,1190,apartment,1,1,600,"(38.6564, -121.766)"
ca,sacramento,citrus heights,1925,apartment,2,2,1077,"(38.7346, -121.234)"
ca,sacramento,citrus heights,1600,house,4,2,1800,"(38.6952, -121.308)"
ca,sacramento,sacramento,1325,apartment,1,1,650,"(38.5728, -121.467)"
ca,sacramento,dixon,1595,apartment,2,1,950,"(38.4554, -121.839)"
ca,sacramento,sacramento,1495,apartment,2,1,700,"(38.5791, -121.472)"
ca,sacramento,fairfield,1675,apartment,1,1,629,"(38.2541, -122.02)"
ca,sacramento,rosemont,1350,apartment,2,2,890,"(38.5469, -121.358)"
ca,sacramento,rio linda,1790,apartment,2,2,1060,"(38.656, -121.512)"
ca,sacramento,woodland,1550,house,3,2,1251,"(38.6586, -121.781)"
ca,sacramento,carmichael,1375,apartment,2,1.5,916,"(38.6269, -121.328)"
ca,sacramento,rio linda,1705,apartment,2,2,1060,"(38.656, -121.512)"
ca,sacramento,el cerrito,2427,apartment,2,2,901,"(37.9271, -122.32)"
ca,sacramento,west sacramento,2055,apartment,3,2,1322,"(38.6543, -121.54)"
ca,sacramento,roseville,1899,apartment,3,2,1170,"(38.7609, -121.287)"
ca,sacramento,folsom,2335,apartment,2,2,1073,"(38.6709, -121.153)"
ca,sacramento,sacramento,1340,apartment,2,1,765,"(38.6274, -121.507)"
ca,sacramento,folsom,1775,apartment,1,1,746,"(38.6709, -121.153)"
ca,sacramento,florin,1300,apartment,2,1,808,"(38.4743, -121.445)"
ca,sacramento,woodland,1640,apartment,2,1,750,"(38.6564, -121.766)"
ca,sacramento,florin,1125,apartment,1,1,598,"(38.4743, -121.445)"
ca,sacramento,sacramento,1400,apartment,1,1,750,"(38.5804, -121.492)"
ca,sacramento,la riviera,1350,duplex,2,1,933,"(38.5888, -121.404)"
ca,sacramento,florin,1125,apartment,1,1,598,"(38.4743, -121.445)"
ca,sacramento,florin,1000,cottage/cabin,1,1,600,"(38.5178, -121.442)"
ca,sacramento,florin,1300,apartment,2,1,808,"(38.4743, -121.445)"
ca,sacramento,florin,1300,apartment,2,1,808,"(38.4743, -121.445)"
ca,sacramento,florin,1300,apartment,2,1,808,"(38.4743, -121.445)"
ca,sacramento,florin,1125,apartment,1,1,598,"(38.4743, -121.445)"
ca,sacramento,florin,1125,apartment,1,1,598,"(38.4743, -121.445)"
ca,sacramento,florin,1300,apartment,2,1,808,"(38.4743, -121.445)"
ca,sacramento,fairfield,1675,apartment,1,1,629,"(38.2541, -122.02)"
ca,sacramento,florin,1425,apartment,2,2,880,"(38.4743, -121.445)"
ca,sacramento,florin,1125,apartment,1,1,598,"(38.4743, -121.445)"
ca,sacramento,florin,1125,apartment,1,1,598,"(38.4743, -121.445)"
ca,sacramento,florin,1125,apartment,1,1,598,"(38.4743, -121.445)"
ca,sacramento,rio linda,1400,apartment,1,1,715,"(38.656, -121.512)"
ca,sacramento,carmichael,1475,apartment,2,5,916,"(38.6269, -121.328)"
ca,sacramento,florin,1425,apartment,2,2,880,"(38.4743, -121.445)"
ca,sacramento,citrus heights,1435,apartment,2,2,859,"(38.7346, -121.234)"
ca,sacramento,davis,3000,house,3,2,1100,"(38.5485, -121.737)"
ca,sacramento,florin,1300,apartment,2,1,808,"(38.4743, -121.445)"
ca,sacramento,west sacramento,1495,apartment,1,1,715,"(38.6543, -121.54)"
ca,sacramento,la riviera,1985,apartment,3,1.5,1008,"(38.5916, -121.401)"
ca,sacramento,la riviera,1756,apartment,2,1,814,"(38.5916, -121.401)"
ca,sacramento,rocklin,1700,apartment,2,2,877,"(38.8081, -121.276)"
ca,sacramento,folsom,1415,apartment,1,1,674,"(38.7028, -121.168)"
ca,sacramento,rio linda,1705,apartment,1,1,975,"(38.656, -121.512)"
ca,sacramento,folsom,1525,apartment,2,1,898,"(38.7029, -121.168)"
ca,sacramento,sacramento,2085,apartment,1,1,723,"(38.5597, -121.462)"
